episode,reward,shaped_reward,length,epsilon
1,400,182.22568542494852,395,0.9704869503929601
2,380,141.16142135623704,197,0.9418449208830277
3,590,225.41426406871116,441,0.9140482050108684
4,580,293.9841630560322,1000,0.8870718549931568
5,230,147.0442640687113,381,0.8608916593317348
6,150,79.91999999999987,103,0.8354841210835904
7,50,69.90213203435573,137,0.8108264367721563
8,0,70.2211554787869,187,0.7868964759210002
9,110,127.07826225997312,383,0.7636727611915388
10,120,85.3614213562372,151,0.7411344491069478
11,70,94.93399819126155,251,0.7192613113449683
12,80,107.02994949366078,305,0.6980337165828197
13,70,99.56426406871155,274,0.6774326128779244
14,-100,44.28426406871189,145,0.6574395105686316
15,160,117.5056854249489,283,0.6380364656795915
16,130,134.4798989873217,404,0.6192060638168893
17,130,208.13502713136998,794,0.6009314045384815
18,50,81.4783127663122,198,0.5831960861859091
19,-90,64.49421356237283,244,0.5659841911636728
20,60,90.54852813742365,237,0.5492802716530589
21,60,139.23679039739682,497,0.5330693357475939
22,320,246.43618261015678,1000,0.5173368339976833
23,50,153.8019945737842,585,0.5020686463523607
24,-90,64.51257683502426,243,0.4872510694864241
25,120,232.67902532263142,935,0.472870804501588
26,-90,77.92563491861007,315,0.45891494499061175
27,-110,57.04568542494903,222,0.4453709654536918
28,-90,106.67679039739691,468,0.43222671005672175
29,-40,56.41568542494916,152,0.41947038172133005
30,-120,30.626891410075288,92,0.40709053153690444
31,-80,51.835685424949084,166,0.39507604848509953
32,-100,49.618528137423766,174,0.3834161494676055
33,-60,121.89710678118571,516,0.3721003696282278
34,-110,52.47399819126161,199,0.36111855296059203
35,-90,146.2553690411591,676,0.3504608431930436
36,-100,97.70826225997311,429,0.3401176749425623
37,-150,24.594264068711986,89,0.33007976512975135
38,-80,90.84154864541452,375,0.3203381046471969
39,-50,50.53115547878705,131,0.31088395027371907
40,-90,110.67847763108425,488,0.30170881682725825
41,-90,68.76541954749868,266,0.2928044695493541
42,-130,44.24710678118651,174,0.284162916714381
43,-60,92.49279220613532,363,0.2757764024569083
44,-20,106.86536904115978,402,0.2676373998107466
45,90,204.41548339959195,1000,0.25973860395343285
46,-120,61.76852813742358,257,0.2520729256500919
47,-100,162.21172869633378,773,0.244633484890789
48,10,223.0521594385559,990,0.2374136047156641
49,-110,106.31941773876014,485,0.23040680522230456
50,-120,96.13105446610895,442,0.2236067977499791
51,-130,105.33346643636071,499,0.2170074792355126
52,-100,109.54394768492216,492,0.21060292673573625
53,-100,46.914213562372964,161,0.20438739211159668
54,-110,64.35536904115997,264,0.1983552968691536
55,-110,137.49368180747175,650,0.19250122715283513
56,-120,104.2076544727342,485,0.18681992888645743
57,-120,110.85271931034909,521,0.18130630305764775
58,-130,66.77515367004861,295,0.17595540114143837
59,-40,101.87394768492237,395,0.1707624206589245
