episode,reward,length,epsilon,pellets,win
79,3119.549999999947,729,1.0,173,0
80,938.700000000006,226,1.0,59,0
81,1739.100000000028,698,1.0,104,0
82,1989.8000000000054,244,1.0,112,0
83,1658.750000000027,685,1.0,99,0
84,1949.8500000000413,963,1.0,107,0
85,3113.849999999971,963,1.0,166,0
86,1396.950000000009,261,1.0,82,0
87,2325.8499999999462,963,1.0,124,0
88,3507.849999999915,963,1.0,185,0
89,3907.8499999998976,963,1.0,204,0
90,1851.2000000000128,416,1.0,106,0
91,1621.8500000000276,683,1.0,97,0
92,752.5500000000045,189,1.0,49,0
93,969.3000000000188,474,1.0,64,0
94,2565.799999999968,644,1.0,144,0
95,2172.899999999989,382,1.0,122,0
96,1537.800000000017,504,1.0,92,0
97,3386.449999999917,911,1.0,188,0
98,3258.849999999947,963,1.0,173,0
99,965.000000000003,180,1.0,60,0
100,2367.1999999999907,356,1.0,132,0
101,827.0000000000007,180,1.0,53,0
102,3139.3999999999337,752,1.0,174,0
103,2741.8499999999417,963,1.0,147,0
104,2214.999999999998,800,1.0,127,0
105,1660.7000000000094,306,1.0,96,0
106,2617.7499999999873,645,1.0,147,0
107,2845.8499999999144,963,1.0,152,0
108,2358.8999999999755,782,1.0,136,0
109,3217.8499999999012,963,1.0,171,0
110,1175.9000000000092,302,1.0,72,0
111,2502.850000000024,963,1.0,135,0
112,3179.8499999999935,963,1.0,169,0
113,2350.8499999999817,963,1.0,127,0
114,635.0500000000068,199,1.0,43,0
115,819.4000000000101,312,1.0,54,0
116,2176.450000000006,751,1.0,126,0
117,4268.849999999925,963,1.0,221,0
118,3151.8499999999353,963,1.0,166,0
119,3252.8499999999567,963,1.0,172,0
120,2585.8499999999744,963,1.0,140,0
121,3811.8499999999467,963,1.0,198,0
122,465.00000000000085,80,1.0,34,0
123,2682.4999999999923,490,1.0,149,0
124,2778.949999999981,821,1.0,157,0
125,3728.8499999999385,963,1.0,195,0
126,2270.3499999999244,913,1.0,133,0
127,2789.999999999977,880,1.0,158,0
128,764.000000000005,180,1.0,50,0
129,2022.3500000000092,493,1.0,116,0
130,2519.2999999999793,714,1.0,143,0
131,2147.950000000008,541,1.0,121,0
132,3955.5499999999156,949,1.0,216,0
133,3475.849999999889,963,1.0,183,0
134,1064.500000000011,310,1.0,66,0
135,3833.849999999897,963,1.0,199,0
136,2825.8499999999303,963,1.0,151,0
137,2036.5000000000125,710,1.0,118,0
138,2730.8499999999203,963,1.0,148,0
139,1573.1000000000254,638,1.0,96,0
140,1022.600000000032,788,1.0,72,0
141,2774.8500000000017,963,1.0,150,0
142,3168.8499999999376,963,1.0,167,0
143,1333.4000000000124,312,1.0,79,0
144,1427.9500000000105,341,1.0,84,0
145,3487.849999999944,963,1.0,182,0
146,1420.250000000007,255,1.0,83,0
147,3291.79999999996,924,1.0,183,0
148,3416.849999999888,963,1.0,181,0
149,2667.8499999999526,623,1.0,149,0
150,2948.8499999999326,963,1.0,157,0
151,3479.849999999916,963,1.0,184,0
152,1853.3000000000172,574,1.0,107,0
153,2471.7499999999745,805,1.0,141,0
154,3260.8499999999117,963,1.0,174,0
155,1890.7500000000139,485,1.0,109,0
156,396.64999999999947,107,1.0,31,0
157,3150.8499999999044,963,1.0,167,0
158,3426.84999999995,963,1.0,181,0
159,1314.2500000000048,215,1.0,78,0
160,3173.8499999999003,963,1.0,167,0
161,2666.949999999966,601,1.0,149,0
162,3824.8499999999162,963,1.0,203,0
163,1879.7000000000078,226,1.0,106,0
164,2157.64999999997,787,1.0,125,0
165,4284.849999999892,963,1.0,222,0
166,347.54999999999944,69,1.0,28,0
167,2638.8499999999412,963,1.0,141,0
168,2699.549999999973,829,1.0,153,0
169,850.4000000000058,212,1.0,54,0
170,2578.849999999981,963,1.0,140,0
171,3994.8499999999462,963,1.0,209,0
172,913.3500000000056,273,1.0,59,0
173,4335.849999999911,963,1.0,226,0
174,3140.8499999999317,963,1.0,167,0
175,2275.349999999967,693,1.0,130,0
176,2405.8499999999667,963,1.0,129,0
177,1907.400000000008,512,1.0,110,0
178,2320.8499999999963,543,1.0,131,0
179,2649.8499999999262,963,1.0,141,0
180,1136.0000000000068,220,1.0,68,0
181,1716.5500000000093,349,1.0,99,0
182,3383.8499999998885,963,1.0,178,0
183,1625.6500000000117,307,1.0,94,0
184,2532.8499999999,963,1.0,135,0
185,2430.2499999999905,775,1.0,138,0
186,3733.849999999919,963,1.0,195,0
187,1671.0000000000077,220,1.0,95,0
188,1356.250000000013,335,1.0,81,0
189,1686.100000000017,458,1.0,99,0
190,2613.8499999999462,963,1.0,141,0
191,2578.8499999999985,963,1.0,138,0
192,2525.850000000014,963,1.0,136,0
193,3468.8499999999804,963,1.0,181,0
194,2810.549999999986,629,1.0,157,0
195,890.2500000000066,235,1.0,57,0
