episode,reward,shaped_reward,length,epsilon
70,-110,36.8328427124746,115,0.43222671005672075
71,-100,99.18105446610888,439,0.4270782763012099
72,-90,103.28765542806678,450,0.42199116770103573
73,-130,37.12081356899847,138,0.4169646537865339
74,80,111.82426406871146,329,0.4119980127889709
75,-110,60.1782622599735,241,0.4070905315369035
76,80,233.5450526573693,977,0.40224150535377284
77,-100,67.43421356237286,269,0.3974502379567184
78,-100,70.50684090373615,285,0.392716041356597
79,-120,41.70804688886238,152,0.3880382357591929
80,-90,73.21803751656483,290,0.3834161494676045
81,-120,34.89613022561778,117,0.3788491187857941
82,320,246.1141489411589,1000,0.37433648792328594
83,-80,83.78421356237263,336,0.3698776089009999
84,130,211.8505215835055,1000,0.36547184145820666
85,40,154.55274169979597,596,0.3611185529605911
86,-110,47.76421356237298,175,0.35681711830941104
87,-100,47.12257683502442,161,0.3525669198517377
88,60,159.00558441227042,601,0.3483673472917657
89,-30,109.04536904115965,423,0.34421779760317905
90,-150,18.245204176387794,66,0.34011767494256134
91,-90,119.50968361621014,534,0.33606639056383714
92,-120,66.3896836162107,283,0.33206336273373266
93,20,90.33852813742342,274,0.3281080166482433
94,140,219.62963310987058,844,0.3241997843500962
95,-80,176.70576220778665,830,0.32033810464719603
96,-110,65.85852813742356,269,0.31652242303204187
97,-70,52.665634918610266,163,0.31275219160210455
98,-110,78.01852813742346,333,0.30902686898115184
99,-60,92.58110497244783,364,0.30534592024151097
100,-110,135.2956349186093,636,0.3017088168272573
101,180,220.61215943855584,1000,0.2981150364783176
102,-90,81.47994949366074,342,0.2945640631554776
103,-90,128.75700576850795,585,0.29105538696628264
104,-160,38.848528137423855,175,0.28758850409182113
105,-50,202.91979797464282,940,0.28416291671438
106,-90,52.977056274847655,184,0.28077813294596193
107,-30,147.87958260353219,631,0.27743366675765396
108,220,228.15384667224328,1000,0.27412903790983745
109,-20,161.58474864903695,694,0.2708637718832295
110,-120,51.3837067878118,202,0.2676373998107456
111,-90,153.54958260353217,727,0.2644494584101737
112,100,205.58779435716625,1000,0.2612994899176508
113,-100,89.89919299535175,389,0.25818704202193127
114,-120,54.84657502628609,223,0.25511166779943867
115,-110,59.865634918610155,239,0.2520729256500908
116,-50,85.60230158527662,318,0.24907037923388947
117,-120,71.41421356237278,309,0.2461035974082652
118,-90,160.58625864249584,755,0.24317215416616872
119,-120,154.92816124729467,753,0.2402756285748995
120,-130,43.786777802141906,173,0.23741360471566308
121,120,209.70025683375715,1000,0.2345856716238483
122,-90,118.09620813615761,533,0.231791423230016
123,-120,159.3567398910574,776,0.22903045830159055
124,-120,35.738528137423884,120,0.22630238038524592
125,-120,111.75279220613494,521,0.22360679774997805
126,-110,75.88421356237268,323,0.22094332333085526
127,-50,148.9755844122704,653,0.21831157467343876
128,-130,69.05137084989819,306,0.2157111738788651
129,-110,93.18314454052515,416,0.21314174754958276
130,-150,23.834264068711963,85,0.21060292673573522
131,-120,39.53852813742381,140,0.20809434688218256
132,-100,93.77652451994682,411,0.2056156477761541
133,-100,98.4055973430151,434,0.2031664734955247
134,-120,48.424213562373,188,0.200746472357707
135,150,216.0955844122696,1000,0.1983552968691526
136,-100,108.21394768492229,485,0.19599260367545454
137,-100,112.05434085155008,509,0.19365805351204435
138,-110,108.98852813742306,496,0.1913513111554762
139,-130,32.13334838001439,111,0.18907204537529146
140,-120,51.116840903736325,202,0.1868199288864565
141,-100,94.43239741451355,415,0.18459463830236705
142,110,208.22837661840543,1000,0.18239585408841252
143,-110,183.7181612472943,895,0.18022326051609308
144,-100,106.26705627484709,474,0.1780765456176836
145,110,207.94875944518122,1000,0.17595540114143748
146,-110,94.32724374446452,420,0.17385952250732403
147,-120,174.94358079479355,862,0.17178860876329316
148,-150,39.790547691548326,173,0.16974236254206096
149,-110,185.68471074758085,908,0.16772049001841005
150,-140,34.13568542494928,130,0.16572270086699856
151,-130,77.12030734009747,355,0.16374870822067156
152,-20,121.77505265737061,484,0.16179822862926924
153,-150,20.604264068711952,68,0.1598709820189256
154,-140,63.72226045123524,290,0.15796669165185206
155,-100,150.11167818999508,712,0.15608508408659993
156,-110,164.58477272147388,797,0.1542258891387964
157,-140,70.17604327138562,326,0.1523888398423481
158,-140,61.54105446610932,279,0.15057367241110692
159,-130,58.59088960133676,251,0.1487801262009922
160,-110,61.604163056034054,250,0.1470079436725644
161,-160,49.08886045786076,232,0.14525687035404425
162,-100,182.81473627358056,885,0.1435266548047727
163,110,207.07894983595335,1000,0.1418170485791059
164,-110,140.1404722048693,669,0.14012780619074036
165,-110,87.92963310987167,389,0.13845868507746298
166,-160,32.37729976285085,144,0.136809445566321
167,90,204.64979797464278,1000,0.13517985083920675
168,-110,174.90121933088045,850,0.13356966689885247
169,-80,129.28269119345723,580,0.13197866253523008
170,-130,111.35989898732154,530,0.13040660929235115
171,-100,112.94558441227086,511,0.12885328143546246
172,-150,74.82816124729567,360,0.12731845591863214
173,-140,110.60126983722,538,0.12580191235272206
174,-120,61.54088960133672,257,0.12430343297374158
175,-120,52.00568542494911,205,0.12282280261157838
176,90,204.42215943855592,1000,0.12135980865910165
177,-150,40.58536904116027,177,0.11991424104163334
178,80,202.24141231254433,1000,0.11848589218678308
179,-100,176.43167818999484,850,0.11707455699464236
180,-130,66.74252632868537,295,0.11568003280833375
181,-90,154.96121933088068,726,0.11430211938491096
182,-130,92.85963310987161,434,0.11294061886660546
183,90,204.07736361494355,1000,0.11159533575241566
184,70,199.81134774775967,1000,0.11026607687003445
185,90,203.90162768365568,1000,0.10895265134811115
186,-140,61.33269119345789,279,0.10765487058884385
187,-160,41.14399819126176,187,0.1063725482408982
188,-110,182.86073808231887,893,0.10510550017264883
189,-110,73.41421356237275,310,0.10385354444573944
190,-160,26.978528137423908,112,0.10261650128895784
191,-160,27.358528137423924,114,0.10139419307242221
192,-160,41.859683616211,192,0.10018644428207481
193,-140,96.37220994489606,464,0.0989930814944795
194,-100,171.30919018740428,824,0.09781393335191947
195,-160,43.724938298937566,202,0.09664883053779161
196,-130,61.11279220613561,264,0.09549760575229393
197,-130,101.1493672324214,479,0.0943600936884026
198,-140,75.91989898732194,353,0.09323613100813515
199,-100,115.78389717858336,527,0.09212555631909633
200,-150,32.57684090373645,133,0.09102821015130348
201,90,204.12926621974233,1000,0.08994393493428784
202,-120,154.39336542368252,752,0.08887257497446863
203,-110,194.22447039613039,957,0.08781397643279665
204,80,201.93304903989286,1000,0.08676798730266419
205,-160,32.09426406871201,138,0.08573445738807804
206,-130,55.952741699796775,239,0.08471323828209253
207,-120,68.35994949366084,292,0.08370418334549935
208,-130,144.41078858865814,707,0.08270714768577142
209,100,205.17412845212604,1000,0.0817219881362573
210,-130,112.95167818999555,545,0.08074856323562367
211,80,202.36905084863116,1000,0.0797867332075425
212,-110,192.8513618062056,950,0.07883635994062027
213,-170,54.056575026286076,267,0.07789730696856625
214,-170,25.513466436361544,117,0.07696943945059698
