episode,reward,length,epsilon,pellets,win
1,4835.849999999872,1083,0.9995,248,0
2,2009.9500000000014,301,0.9990002500000001,112,0
3,706.4500000000012,131,0.9985007498750001,46,0
4,909.0500000000031,119,0.9980014995000627,56,0
5,903.1000000000017,178,0.9975024987503127,56,0
6,1479.150000000006,217,0.9970037475009376,85,0
7,4087.8499999999117,1083,0.9965052456271871,209,0
8,5188.849999999892,1083,0.9960069930043736,265,0
9,1700.0000000000057,180,0.9955089895078715,96,0
10,1218.9000000000065,202,0.9950112350131176,72,0
11,4064.8499999998608,1083,0.9945137293956111,208,0
12,3671.8499999999212,1083,0.9940164725309134,190,0
13,1338.4500000000091,271,0.993519464294648,79,0
14,2664.0499999999797,379,0.9930227045625007,145,0
15,4714.84999999988,1083,0.9925261932102195,242,0
16,2500.4999999999686,590,0.9920299301136144,137,0
17,3173.1499999999573,737,0.9915339151485576,173,0
18,4015.799999999869,1024,0.9910381481909833,216,0
19,4925.84999999985,1083,0.990542629116888,252,0
20,1850.1000000000106,438,0.9900473578023296,105,0
21,3635.8499999998835,1083,0.9895523341234285,189,0
22,1594.550000000014,369,0.9890575579563669,92,0
23,4592.849999999862,1083,0.9885630291773887,235,0
24,2247.549999999994,389,0.9880687476628001,124,0
25,6051.849999999856,1083,0.9875747132889687,308,0
26,2556.9999999999795,400,0.9870809259323243,140,0
27,3555.449999999961,471,0.9865873854693582,190,0
28,2173.1999999999985,356,0.9860940917766235,120,0
29,5122.849999999873,1083,0.9856010447307353,262,0
30,1666.7500000000118,345,0.98510824420837,95,0
31,3762.8499999998635,1083,0.9846156900862658,194,0
32,1667.3500000000076,273,0.9841233822412228,95,0
33,4380.099999999878,1018,0.9836313205501022,234,0
34,4319.849999999888,1083,0.9831395048898272,221,0
35,1309.8500000000045,163,0.9826479351373822,76,0
36,5100.849999999862,1083,0.9821566111698136,261,0
37,3745.449999999972,591,0.9816655328642288,200,0
38,3295.4499999999407,731,0.9811747000977967,180,0
39,4374.849999999871,1083,0.9806841127477479,224,0
40,2841.599999999895,928,0.9801937706913741,156,0
41,4942.84999999986,1083,0.9797036738060285,253,0
42,3935.8499999999244,1083,0.9792138219691255,203,0
43,1373.4000000000078,232,0.978724215058141,80,0
44,4338.849999999898,1083,0.978234852950612,222,0
45,5184.849999999881,1083,0.9777457355241367,265,0
46,2027.5999999999942,468,0.9772568626563747,115,0
47,793.9500000000035,161,0.9767682342250465,51,0
48,654.6000000000013,108,0.976279850107934,43,0
49,1199.6000000000026,188,0.9757917101828801,71,0
50,2547.149999999932,757,0.9753038143277888,141,0
51,4639.449999999885,1031,0.974816162420625,247,0
52,2095.850000000002,263,0.9743287543394147,116,0
53,1696.8500000000147,383,0.973841589962245,98,0
54,1188.150000000004,137,0.973354669167264,70,0
55,1872.7500000000034,245,0.9728679918326804,105,0
56,953.1500000000033,117,0.972381557836764,58,0
57,3134.599999999948,608,0.9718953670578457,170,0
58,467.3000000000014,74,0.9714094193743169,34,0
59,3027.9999999999577,620,0.9709237146646298,165,0
60,2765.849999999907,1083,0.9704382528072976,143,0
61,2344.3999999999855,412,0.9699530336808939,130,0
62,5320.84999999988,1083,0.9694680571640535,272,0
63,4852.849999999858,1083,0.9689833231354715,248,0
64,4779.549999999843,1069,0.9684988314739038,253,0
65,1112.2000000000048,156,0.9680145820581669,67,0
66,1771.10000000001,278,0.9675305747671379,100,0
67,2570.34999999999,353,0.9670468094797544,140,0
68,4783.849999999883,1083,0.9665632860750146,245,0
69,1725.5000000000116,350,0.9660800044319772,98,0
70,604.9500000000012,101,0.9655969644297613,41,0
71,2527.149999999995,617,0.9651141659475465,140,0
72,3929.7999999999583,704,0.9646316088645728,210,0
73,3748.399999999919,712,0.9641492930601405,201,0
74,1422.5000000000155,390,0.9636672184136105,83,0
75,1627.1500000000083,277,0.9631853848044037,93,0
76,4412.849999999856,1083,0.9627037921120016,226,0
77,4323.84999999987,1083,0.9622224402159457,221,0
78,2827.649999999951,787,0.9617413289958378,156,0
79,3201.1499999999537,517,0.9612604583313399,172,0
80,1423.9000000000049,182,0.9607798281021742,82,0
81,5485.84999999987,1083,0.9602994381881231,280,0
82,4059.0999999998694,978,0.9598192884690291,218,0
83,5348.849999999873,1083,0.9593393788247946,273,0
84,858.8000000000029,144,0.9588597091353822,54,0
85,4808.849999999856,1083,0.9583802792808146,245,0
86,3481.1499999998778,917,0.9579010891411742,190,0
87,1256.3500000000074,213,0.9574221385966036,74,0
88,3293.799999999937,704,0.9569434275273054,178,0
89,1713.4000000000137,372,0.9564649558135419,99,0
90,2055.0999999999935,398,0.9559867233356352,116,0
91,1546.600000000007,248,0.9555087299739674,89,0
92,3581.8499999998603,1083,0.9550309756089804,185,0
93,4941.849999999854,1083,0.954553460121176,252,0
94,4879.84999999991,903,0.9540761833911156,258,0
95,1248.250000000003,115,0.95359914529942,73,0
96,3617.349999999947,613,0.9531223457267703,194,0
97,1210.600000000006,248,0.952645784553907,72,0
98,2077.000000000002,620,0.9521694616616301,118,0
99,1445.6000000000067,208,0.9516933769307994,83,0
100,4284.3499999999285,713,0.951217530242334,228,0
101,3226.849999999951,583,0.9507419214772129,174,0
102,4238.949999999927,721,0.9502665505164744,225,0
103,1561.6000000000067,208,0.9497914172412162,89,0
104,4629.8499999998585,1083,0.9493165215325956,237,0
105,2350.5999999999544,528,0.9488418632718294,130,0
106,4327.849999999875,1083,0.9483674423401935,222,0
107,2706.5499999999665,489,0.9478932586190235,148,0
108,4038.8499999998844,1083,0.9474193119897141,208,0
