episode,reward,length,epsilon,eval_mean_5
1,-62.800000000000004,13,0.9992,0.0
2,-86.3,8,0.99840064,0.0
3,-92.39999999999999,9,0.9976019194879999,0.0
4,-67.6,11,0.9968038379524095,0.0
5,-61.5,10,0.9960063948820475,0.0
6,-66.3,8,0.9952095897661418,0.0
7,-72.5,10,0.9944134220943289,0.0
8,-76.29999999999998,8,0.9936178913566535,0.0
9,-52.500000000000014,20,0.9928229970435681,0.0
10,-76.3,8,0.9920287386459332,0.0
11,-86.19999999999999,7,0.9912351156550164,0.0
12,-28.599999999999994,21,0.9904421275624924,0.0
13,-81.19999999999999,7,0.9896497738604424,0.0
14,-77.5,10,0.9888580540413541,0.0
15,-53.300000000000026,28,0.988066967598121,0.0
16,-98.3,8,0.9872765140240425,0.0
17,-76.3,8,0.9864866928128232,0.0
18,-87.6,11,0.9856975034585729,0.0
19,-81.1,6,0.984908945455806,0.0
20,-57.900000000000006,14,0.9841210182994413,0.0
21,-18.799999999999955,33,0.9833337214848017,0.0
22,-66.3,8,0.9825470545076138,0.0
23,-72.6,11,0.9817610168640077,0.0
24,-77.4,9,0.9809756080505165,0.0
25,-27.400000000000006,19,0.980190827564076,0.0
26,-77.69999999999999,12,0.9794066749020248,0.0
27,-87.3,8,0.9786231495621032,0.0
28,-82.69999999999999,12,0.9778402510424534,0.0
29,-82.39999999999999,9,0.9770579788416195,0.0
30,-66.7,12,0.9762763324585462,0.0
31,-64.2,17,0.9754953113925793,0.0
32,-81.19999999999999,7,0.9747149151434652,0.0
33,-73.1,16,0.9739351432113504,0.0
34,-71.29999999999998,8,0.9731559950967813,0.0
35,-98.3,8,0.9723774703007039,0.0
36,-87.3,8,0.9715995683244633,0.0
37,-92.3,8,0.9708222886698037,0.0
38,-77.4,9,0.9700456308388679,0.0
39,-76.3,8,0.9692695943341968,0.0
40,-66.3,8,0.9684941786587294,0.0
41,-71.6,11,0.9677193833158024,0.0
42,-81.8,13,0.9669452078091497,0.0
43,-82.39999999999999,9,0.9661716516429024,0.0
44,-77.69999999999999,12,0.9653987143215881,0.0
45,-88.49999999999999,10,0.9646263953501308,0.0
46,-87.39999999999999,9,0.9638546942338507,0.0
47,-76.1,6,0.9630836104784636,0.0
48,-76.19999999999999,7,0.9623131435900808,0.0
49,-81.1,6,0.9615432930752087,0.0
50,-77.5,10,0.9607740584407485,16.800000000000054
51,-87.6,11,0.9600054391939958,16.800000000000054
52,-51.30000000000003,38,0.9592374348426406,16.800000000000054
53,-52.300000000000004,18,0.9584700448947664,16.800000000000054
54,-61.7,12,0.9577032688588506,16.800000000000054
55,-81.1,6,0.9569371062437635,16.800000000000054
56,-76.19999999999999,7,0.9561715565587685,16.800000000000054
57,-82.5,10,0.9554066193135214,16.800000000000054
58,-57.2,17,0.9546422940180707,16.800000000000054
59,-63.300000000000026,28,0.9538785801828562,16.800000000000054
60,-63.0,15,0.9531154773187099,16.800000000000054
61,-83.6,11,0.9523529849368549,16.800000000000054
62,-61.8,13,0.9515911025489054,16.800000000000054
63,-23.0,25,0.9508298296668662,16.800000000000054
64,-79.1,16,0.9500691658031327,16.800000000000054
65,-67.8,13,0.9493091104704902,16.800000000000054
66,-66.4,9,0.9485496631821138,16.800000000000054
67,-92.3,8,0.9477908234515681,16.800000000000054
68,-72.69999999999999,12,0.9470325907928068,16.800000000000054
69,-68.9,24,0.9462749647201725,16.800000000000054
70,-76.3,8,0.9455179447483963,16.800000000000054
71,-72.9,14,0.9447615303925976,16.800000000000054
72,-86.3,8,0.9440057211682835,16.800000000000054
73,-91.3,8,0.9432505165913488,16.800000000000054
74,-86.3,8,0.9424959161780757,16.800000000000054
75,-76.3,8,0.9417419194451332,16.800000000000054
76,-82.6,11,0.940988525909577,16.800000000000054
77,-76.29999999999998,8,0.9402357350888494,16.800000000000054
78,-76.29999999999998,8,0.9394835465007783,16.800000000000054
79,-63.1,16,0.9387319596635776,16.800000000000054
80,-54.300000000000004,18,0.9379809740958467,16.800000000000054
81,-81.19999999999999,7,0.93723058931657,16.800000000000054
82,-77.29999999999998,8,0.9364808048451168,16.800000000000054
83,-73.2,17,0.9357316202012407,16.800000000000054
84,-72.5,10,0.9349830349050796,16.800000000000054
85,-81.29999999999998,8,0.9342350484771555,16.800000000000054
86,-72.5,10,0.9334876604383738,16.800000000000054
87,-71.3,8,0.9327408703100231,16.800000000000054
88,-51.7,12,0.931994677613775,16.800000000000054
89,-76.19999999999999,7,0.931249081871684,16.800000000000054
90,-42.70000000000002,22,0.9305040826061867,16.800000000000054
91,-48.4,19,0.9297596793401017,16.800000000000054
92,-57.500000000000014,20,0.9290158715966296,16.800000000000054
93,-68.70000000000002,22,0.9282726588993523,16.800000000000054
94,-67.9,14,0.9275300407722328,16.800000000000054
95,-87.3,8,0.926788016739615,16.800000000000054
96,-78.0,15,0.9260465863262233,16.800000000000054
97,-81.29999999999998,8,0.9253057490571622,16.800000000000054
98,-81.19999999999999,7,0.9245655044579165,16.800000000000054
99,-87.3,8,0.9238258520543502,16.800000000000054
100,19.900000000000134,46,0.9230867913727067,-7.699999999999974
101,-82.3,8,0.9223483219396085,-7.699999999999974
102,-81.3,8,0.9216104432820568,-7.699999999999974
103,-57.10000000000001,16,0.920873154927431,-7.699999999999974
104,-78.19999999999999,17,0.9201364564034891,-7.699999999999974
105,-81.39999999999999,9,0.9194003472383663,-7.699999999999974
106,-33.10000000000001,26,0.9186648269605756,-7.699999999999974
107,-92.49999999999999,10,0.9179298950990071,-7.699999999999974
108,-63.70000000000001,22,0.917195551182928,-7.699999999999974
109,-23.299999999999997,28,0.9164617947419816,-7.699999999999974
110,-72.5,10,0.915728625306188,-7.699999999999974
111,-87.19999999999999,7,0.914996042405943,-7.699999999999974
112,-76.3,8,0.9142640455720182,-7.699999999999974
113,-82.5,10,0.9135326343355606,-7.699999999999974
114,-82.3,8,0.9128018082280922,-7.699999999999974
115,-76.9,14,0.9120715667815097,-7.699999999999974
116,-81.29999999999998,8,0.9113419095280845,-7.699999999999974
117,-76.29999999999998,8,0.910612836000462,-7.699999999999974
118,-58.80000000000002,23,0.9098843457316615,-7.699999999999974
119,-61.5,10,0.9091564382550762,-7.699999999999974
120,-81.3,8,0.9084291131044722,-7.699999999999974
121,-93.19999999999999,7,0.9077023698139886,-7.699999999999974
122,-16.19999999999996,47,0.9069762079181374,-7.699999999999974
123,-87.3,8,0.9062506269518028,-7.699999999999974
124,-61.5,10,0.9055256264502414,-7.699999999999974
125,-76.3,8,0.9048012059490812,-7.699999999999974
126,-87.3,8,0.9040773649843219,-7.699999999999974
127,-56.5,10,0.9033541030923344,-7.699999999999974
128,-81.0,5,0.9026314198098605,-7.699999999999974
129,-58.1,16,0.9019093146740126,-7.699999999999974
130,-76.69999999999999,12,0.9011877872222733,-7.699999999999974
131,-71.8,13,0.9004668369924955,-7.699999999999974
132,-67.7,12,0.8997464635229016,-7.699999999999974
133,-86.19999999999999,7,0.8990266663520832,-7.699999999999974
134,-58.2,17,0.8983074450190015,-7.699999999999974
135,-76.19999999999999,7,0.8975887990629863,-7.699999999999974
136,-57.7,12,0.8968707280237359,-7.699999999999974
137,-82.4,9,0.8961532314413169,-7.699999999999974
138,-57.10000000000001,16,0.8954363088561638,-7.699999999999974
139,-71.7,12,0.8947199598090788,-7.699999999999974
140,-53.300000000000004,18,0.8940041838412315,-7.699999999999974
141,-92.49999999999999,10,0.8932889804941585,-7.699999999999974
142,-66.6,11,0.8925743493097632,-7.699999999999974
143,-52.300000000000004,18,0.8918602898303154,-7.699999999999974
144,-67.69999999999999,12,0.8911468015984512,-7.699999999999974
145,-74.8,13,0.8904338841571724,-7.699999999999974
146,-78.0,15,0.8897215370498467,-7.699999999999974
147,-42.70000000000002,22,0.8890097598202068,-7.699999999999974
