episode,reward,length,epsilon
1,-970,300,0.9995
2,-1210,300,0.9990002500000001
3,-490,156,0.9985007498750001
4,-1100,300,0.9980014995000627
5,-1630,210,0.9975024987503127
6,-1310,300,0.9970037475009376
7,-110,145,0.9965052456271871
8,-1900,300,0.9960069930043736
9,-1200,156,0.9955089895078715
10,-1610,300,0.9950112350131176
11,-1450,193,0.9945137293956111
12,-520,160,0.9940164725309134
13,-520,179,0.993519464294648
14,-1230,220,0.9930227045625007
15,-1450,253,0.9925261932102195
16,-170,53,0.9920299301136144
17,-1340,300,0.9915339151485576
18,-920,247,0.9910381481909833
19,-830,300,0.990542629116888
20,-680,300,0.9900473578023296
21,-1910,300,0.9895523341234285
22,-1290,278,0.9890575579563669
23,-700,69,0.9885630291773887
24,-390,300,0.9880687476628001
25,-1060,300,0.9875747132889687
26,-1430,273,0.9870809259323243
27,-750,248,0.9865873854693582
28,-1730,286,0.9860940917766235
29,-750,112,0.9856010447307353
30,-1260,191,0.98510824420837
31,-940,228,0.9846156900862658
32,-1330,300,0.9841233822412228
33,-1020,299,0.9836313205501022
34,-1300,161,0.9831395048898272
35,-780,187,0.9826479351373822
36,-1490,300,0.9821566111698136
37,-830,300,0.9816655328642288
38,-1100,142,0.9811747000977967
39,-1330,300,0.9806841127477479
40,-1360,253,0.9801937706913741
41,-1760,300,0.9797036738060285
42,-540,98,0.9792138219691255
43,-460,300,0.978724215058141
44,-740,205,0.978234852950612
45,-1380,209,0.9777457355241367
46,-680,270,0.9772568626563747
47,-2570,296,0.9767682342250465
48,-490,148,0.976279850107934
49,-1320,179,0.9757917101828801
50,-1570,300,0.9753038143277888
51,-1600,300,0.974816162420625
52,-1920,300,0.9743287543394147
53,-2320,300,0.973841589962245
54,-1000,187,0.973354669167264
55,-780,79,0.9728679918326804
56,-2080,300,0.972381557836764
57,-1110,300,0.9718953670578457
58,-1610,300,0.9714094193743169
59,-1630,274,0.9709237146646298
60,-520,158,0.9704382528072976
61,-1120,300,0.9699530336808939
62,-1420,216,0.9694680571640535
63,-190,106,0.9689833231354715
64,-1190,256,0.9684988314739038
65,-1250,300,0.9680145820581669
66,-680,300,0.9675305747671379
67,-1750,300,0.9670468094797544
68,-1910,300,0.9665632860750146
69,-970,300,0.9660800044319772
70,-570,300,0.9655969644297613
71,-900,170,0.9651141659475465
72,-1230,300,0.9646316088645728
73,-360,143,0.9641492930601405
74,-790,179,0.9636672184136105
75,-600,300,0.9631853848044037
76,-1800,274,0.9627037921120016
77,-840,300,0.9622224402159457
78,-1320,300,0.9617413289958378
79,-170,99,0.9612604583313399
80,-1010,192,0.9607798281021742
81,-1470,293,0.9602994381881231
82,-430,57,0.9598192884690291
83,-680,130,0.9593393788247946
84,-420,291,0.9588597091353822
85,-260,178,0.9583802792808146
86,-880,300,0.9579010891411742
87,-1280,300,0.9574221385966036
88,-860,300,0.9569434275273054
89,-1010,198,0.9564649558135419
90,-1440,300,0.9559867233356352
91,-160,45,0.9555087299739674
92,-310,47,0.9550309756089804
93,-2300,298,0.954553460121176
94,-1030,230,0.9540761833911156
95,-1050,300,0.95359914529942
96,-990,300,0.9531223457267703
97,-2000,259,0.952645784553907
98,-640,228,0.9521694616616301
99,-2430,300,0.9516933769307994
100,-2150,300,0.951217530242334
