episode,reward,length,epsilon,pellets,win
270,1204.0000000000116,300,0.8736864144409725,62,0
271,507.60000000000156,108,0.873249571233752,36,0
272,193.34999999999974,33,0.8728129464481352,20,0
273,1351.0000000000111,300,0.8723765399749112,70,0
274,-81.5,10,0.8719403517049238,6,0
275,726.6500000000042,147,0.8715043815290714,48,0
276,1250.0000000000107,300,0.8710686293383069,64,0
277,1103.10000000001,298,0.8706330950236377,67,0
278,767.6000000000065,208,0.870197778476126,50,0
279,96.94999999999965,41,0.869762679586888,15,0
280,210.8999999999997,42,0.8693277982470946,21,0
281,56.69999999999982,26,0.8688931343479711,13,0
282,967.700000000011,286,0.8684586877807972,61,0
283,318.55000000000035,89,0.8680244584369068,27,0
284,895.100000000009,258,0.8675904462076884,57,0
285,978.3500000000067,253,0.8671566509845846,61,0
286,1111.00000000001,300,0.8667230726590923,57,0
287,77.74999999999983,25,0.8662897111227629,14,0
288,155.4999999999996,50,0.8658565662672015,18,0
289,169.49999999999966,50,0.865423637984068,19,0
290,1168.000000000009,300,0.864990926165076,61,0
291,166.1999999999993,76,0.8645584307019936,19,0
292,684.2500000000034,135,0.8641261514866426,45,0
293,197.04999999999944,79,0.8636940884108993,21,0
294,995.3000000000093,254,0.8632622413666939,62,0
295,1103.000000000007,240,0.8628306102460106,67,0
296,96.74999999999983,25,0.8623991949408877,15,0
297,921.6000000000056,188,0.8619679953434173,57,0
298,237.84999999999962,43,0.8615370113457457,22,0
299,668.650000000001,107,0.8611062428400729,44,0
300,1363.00000000001,300,0.8606756897186528,70,0
301,238.04999999999967,39,0.8602453518737936,22,0
302,614.1000000000038,138,0.8598152291978567,42,0
303,-40.400000000000006,8,0.8593853215832578,8,0
304,799.3500000000042,153,0.8589556289224661,51,0
305,1388.0000000000095,300,0.8585261511080049,72,0
306,508.2500000000005,75,0.858096888032451,36,0
307,333.1499999999996,57,0.8576678395884348,27,0
308,539.1000000000006,98,0.8572390056686406,38,0
309,1026.250000000005,175,0.8568103861658064,63,0
310,840.8500000000042,163,0.8563819809727236,54,0
311,197.09999999999968,38,0.8559537899822373,20,0
312,93.54999999999978,29,0.8555258130872462,15,0
313,406.4999999999994,90,0.8550980501807026,31,0
314,1412.0000000000095,300,0.8546705011556123,72,0
315,1421.0000000000111,300,0.8542431659050345,73,0
316,1079.650000000006,187,0.853816044322082,65,0
317,979.9000000000103,282,0.8533891362999211,61,0
318,469.6000000000011,88,0.8529624417317712,34,0
319,861.0500000000052,219,0.8525359605109053,55,0
320,1037.1000000000072,258,0.8521096925306499,64,0
321,334.80000000000024,44,0.8516836376843847,27,0
322,351.4999999999997,70,0.8512577958655425,28,0
323,1063.9000000000074,262,0.8508321669676098,65,0
324,989.8000000000063,184,0.850406750884126,61,0
325,118.29999999999978,34,0.8499815475086839,16,0
326,1149.0000000000111,300,0.8495565567349297,60,0
327,725.9000000000008,122,0.8491317784565623,47,0
