episode,reward,length,epsilon
1,1178.2500000000268,695,0.05
2,119.19999999999993,16,0.02
3,172.49999999999977,30,0.02
4,161.09999999999968,38,0.02
5,179.6999999999996,46,0.02
6,27.59999999999593,368,0.02
7,114.59999999999889,108,0.02
8,177.94999999999987,21,0.02
9,172.6499999999998,27,0.02
10,199.24999999999903,95,0.02
11,176.94999999999987,21,0.02
12,161.94999999999965,41,0.02
13,-14.100000000002181,700,0.02
14,164.1499999999997,37,0.02
15,159.0999999999999,18,0.02
16,-81.10000000000446,700,0.02
17,196.84999999999962,43,0.02
18,159.0999999999999,18,0.02
19,-36.65000000000572,513,0.02
20,64.24999999999653,315,0.02
21,210.44999999999976,31,0.02
22,59.34999999999994,13,0.02
23,139.14999999999992,17,0.02
24,178.9999999999999,20,0.02
25,14.5499999999966,309,0.02
26,179.0499999999999,19,0.02
27,209.7999999999978,204,0.02
28,-121.95000000000447,559,0.02
29,169.24999999999926,75,0.02
30,178.94999999999987,21,0.02
31,154.6999999999996,46,0.02
32,99.24999999999994,15,0.02
33,84.84999999999803,183,0.02
34,170.54999999999978,29,0.02
35,222.8499999999998,63,0.02
36,179.0499999999999,19,0.02
37,139.8999999999994,62,0.02
38,179.0499999999999,19,0.02
39,-7.100000000005667,700,0.02
40,200.94999999999965,41,0.02
41,196.59999999999957,48,0.02
42,194.29999999999973,34,0.02
43,178.94999999999987,21,0.02
44,179.0499999999999,19,0.02
45,26.649999999995714,387,0.02
46,23.249999999996078,355,0.02
47,168.34999999999974,33,0.02
48,161.5499999999991,89,0.02
49,144.6999999999989,106,0.02
50,166.0999999999981,178,0.02
51,179.0499999999999,19,0.02
52,167.49999999999977,30,0.02
53,200.89999999999216,700,0.02
54,162.99999999999943,60,0.02
55,176.94999999999987,21,0.02
56,119.19999999999993,16,0.02
57,164.34999999999974,33,0.02
58,148.2999999999979,194,0.02
59,159.0999999999999,18,0.02
60,119.19999999999993,16,0.02
61,169.04999999999922,79,0.02
62,177.9999999999999,20,0.02
63,184.5999999999995,108,0.02
64,88.8999999999929,700,0.02
65,144.89999999999216,700,0.02
