episode,reward,length,epsilon
202,190,152,0.9039102012541841
203,160,264,0.9034582461535571
204,-50,86,0.9030065170304803
205,-20,85,0.9025550137719651
206,-40,40,0.9021037362650792
207,190,180,0.9016526843969468
208,0,79,0.9012018580547484
209,-10,85,0.900751257125721
210,60,54,0.9003008814971583
211,-50,44,0.8998507310564098
212,190,210,0.8994008056908817
213,-110,36,0.8989511052880362
214,30,42,0.8985016297353923
215,-70,16,0.8980523789205246
216,0,58,0.8976033527310644
217,60,125,0.8971545510546989
218,320,300,0.8967059737791716
219,50,101,0.8962576207922821
220,60,77,0.895809491981886
221,120,110,0.8953615872358951
222,-100,50,0.8949139064422772
223,-120,47,0.8944664494890561
224,210,158,0.8940192162643116
225,20,109,0.8935722066561794
226,420,300,0.8931254205528514
227,50,100,0.8926788578425751
228,100,191,0.8922325184136538
229,-130,26,0.891786402154447
230,30,42,0.8913405089533699
231,130,296,0.8908948386988933
232,-130,22,0.8904493912795439
233,-10,58,0.8900041665839042
234,-120,15,0.8895591645006123
235,160,192,0.889114384918362
236,10,74,0.8886698277259029
237,-10,103,0.88822549281204
238,350,300,0.887781380065634
239,60,153,0.8873374893756012
240,140,186,0.8868938206309135
241,90,191,0.8864503737205981
242,-20,89,0.8860071485337379
243,-70,54,0.885564144959471
244,-40,55,0.8851213628869913
245,-70,25,0.8846788022055478
246,40,167,0.8842364628044451
247,90,61,0.883794344573043
248,140,161,0.8833524474007565
249,140,237,0.8829107711770562
250,-90,21,0.8824693157914677
251,-80,78,0.882028081133572
252,370,300,0.8815870670930053
253,70,251,0.8811462735594588
254,-30,37,0.8807057004226791
255,80,288,0.8802653475724679
256,-70,29,0.8798252148986817
257,50,60,0.8793853022912325
258,170,247,0.8789456096400869
259,-60,89,0.8785061368352669
260,-40,68,0.8780668837668493
261,120,120,0.8776278503249659
262,10,67,0.8771890363998035
263,-70,58,0.8767504418816037
264,60,62,0.876312066660663
265,-50,46,0.8758739106273327
266,-20,40,0.8754359736720191
267,70,100,0.8749982556851831
